Time(s);Average Density;Relative Energy;Maximal Velocity
0.000000;1.000000;0.000000;0.000000
0.001000;1.000862;0.000000;0.045159
0.002000;1.000858;0.000000;0.088397
0.003000;1.000850;0.000000;0.130311
0.004000;1.000838;0.250000;0.169622
0.005000;1.000823;0.250000;0.205689
0.006000;1.000806;-0.250000;0.238031
0.007000;1.000785;0.000000;0.266371
0.008000;1.000765;-1.250000;0.290626
0.009000;1.000747;-1.250000;0.310905
0.010000;1.000726;-1.500000;0.327507
0.011000;1.000706;-1.500000;0.344585
0.012000;1.000695;-1.500000;0.361464
0.013000;1.000783;-2.000000;0.376394
0.014000;1.000772;-2.000000;0.389756
0.015000;1.000761;-2.000000;0.401962
0.016000;1.000751;-3.250000;0.413440
0.017000;1.000729;-3.500000;0.424603
0.018000;1.000723;-3.500000;0.435836
0.019000;1.000709;-4.250000;0.447474
0.020000;1.000710;-3.250000;0.459800
0.021000;1.000758;-0.750000;0.473016
0.022000;1.000767;-1.000000;0.487260
0.023000;1.000762;-0.500000;0.502579
0.024000;1.000744;0.750000;0.518975
0.025000;1.000750;1.500000;0.536391
0.026000;1.000729;2.250000;0.554735
0.027000;1.000736;2.500000;0.573879
0.028000;1.000742;3.000000;0.593685
0.029000;1.000772;3.750000;0.614002
0.030000;1.000785;3.000000;0.634676
0.031000;1.000773;3.000000;0.655580
0.032000;1.000782;2.500000;0.676591
0.033000;1.000766;2.750000;0.697611
0.034000;1.000763;3.000000;0.718563
0.035000;1.000758;3.250000;0.739392
0.036000;1.000765;3.000000;0.760072
0.037000;1.000776;2.750000;0.780595
0.038000;1.000791;2.000000;0.800973
0.039000;1.000799;0.500000;0.821236
0.040000;1.000805;0.000000;0.841426
0.041000;1.000788;1.000000;0.861576
0.042000;1.000786;0.750000;0.881741
0.043000;1.000773;0.250000;0.901958
0.044000;1.000782;0.250000;0.922268
0.045000;1.000759;0.000000;0.942710
0.046000;1.000757;0.250000;0.963310
0.047000;1.000732;-0.250000;0.984092
0.048000;1.000718;-1.000000;1.005068
0.049000;1.000699;0.000000;1.026239
0.050000;1.000689;-0.500000;1.047599
0.051000;1.000676;-0.750000;1.069126
0.052000;1.000667;-1.250000;1.090791
0.053000;1.000658;-1.500000;1.112565
0.054000;1.000654;-1.250000;1.134413
0.055000;1.000652;0.250000;1.156307
0.056000;1.000651;1.250000;1.178197
0.057000;1.000641;2.250000;1.200042
0.058000;1.000634;2.750000;1.221816
0.059000;1.000634;4.000000;1.243488
0.060000;1.000626;4.750000;1.265041
0.061000;1.000621;4.750000;1.286457
0.062000;1.000612;4.750000;1.307731
0.063000;1.000602;4.500000;1.328868
0.064000;1.000593;5.000000;1.349867
0.065000;1.000588;5.000000;1.370745
0.066000;1.000585;6.250000;1.391511
0.067000;1.000584;7.500000;1.412188
0.068000;1.000579;7.250000;1.432777
0.069000;1.000565;7.250000;1.453291
0.070000;1.000551;5.750000;1.473717
0.071000;1.000541;5.500000;1.494037
0.072000;1.000536;5.750000;1.514227
0.073000;1.000532;6.000000;1.534261
0.074000;1.000523;6.000000;1.554087
0.075000;1.000519;6.500000;1.573660
0.076000;1.000513;7.000000;1.592929
0.077000;1.000509;7.750000;1.611834
0.078000;1.000506;6.250000;1.630336
0.079000;1.000500;6.750000;1.648397
0.080000;1.000503;6.500000;1.665974
0.081000;1.000502;6.750000;1.683059
0.082000;1.000495;6.500000;1.699645
0.083000;1.000492;5.750000;1.715750
0.084000;1.000490;5.250000;1.731416
0.085000;1.000485;5.250000;1.746682
0.086000;1.000479;5.750000;1.761610
0.087000;1.000473;5.500000;1.776272
0.088000;1.000466;5.750000;1.790740
0.089000;1.000460;5.750000;1.805079
0.090000;1.000452;5.500000;1.819368
0.091000;1.000444;5.250000;1.833665
0.092000;1.000440;5.500000;1.848012
0.093000;1.000434;6.750000;1.862442
0.094000;1.000429;6.750000;1.876995
0.095000;1.000424;6.000000;1.891678
0.096000;1.000421;6.250000;1.906496
0.097000;1.000419;5.000000;1.921444
0.098000;1.000415;4.750000;1.936510
0.099000;1.000413;5.000000;1.951694
0.100000;1.000407;5.000000;1.966990
0.101000;1.000401;4.250000;1.982407
0.102000;1.000392;5.250000;1.997963
0.103000;1.000389;5.500000;2.013702
0.104000;1.000389;5.250000;2.029668
0.105000;1.000388;5.250000;2.045921
0.106000;1.000388;6.500000;2.062519
0.107000;1.000386;6.750000;2.079548
0.108000;1.000384;5.750000;2.097055
0.109000;1.000386;5.000000;2.115100
0.110000;1.000385;5.250000;2.133701
0.111000;1.000376;4.750000;2.152870
0.112000;1.000375;4.000000;2.172569
0.113000;1.000374;5.000000;2.192738
0.114000;1.000373;5.250000;2.213279
0.115000;1.000374;4.750000;2.234057
0.116000;1.000370;4.250000;2.254914
