Time(s);Average Density;Relative Energy;Maximal Velocity
0.000000;1.000000;0.000000;0.000000
0.001000;1.000862;7.750000;0.508712
0.002000;1.000819;20.000000;0.781910
0.003000;1.000752;36.750000;0.963689
0.004000;1.000686;48.000000;1.020419
0.005000;1.000746;58.250000;1.020555
0.006000;1.000682;68.750000;1.020792
0.007000;1.000707;80.000000;1.021181
0.008000;1.000659;87.750000;1.035734
0.009000;1.000605;94.750000;1.060388
0.010000;1.000591;104.000000;1.079286
0.011000;1.000540;110.500000;1.085743
0.012000;1.000493;116.750000;1.086529
0.013000;1.000450;123.250000;1.087417
0.014000;1.000391;129.750000;1.092965
0.015000;1.000357;133.250000;1.105638
0.016000;1.000300;138.000000;1.119467
0.017000;1.000277;141.000000;1.128459
0.018000;1.000214;144.500000;1.129675
0.019000;1.000173;148.000000;1.130983
0.020000;1.000135;150.000000;1.132380
0.021000;1.000061;150.500000;1.133868
0.022000;1.000042;150.750000;1.137954
0.023000;1.000050;151.750000;1.147876
0.024000;1.000049;151.250000;1.176004
0.025000;1.000050;151.000000;1.227033
0.026000;1.000051;151.500000;1.292805
0.027000;1.000048;151.500000;1.347042
0.028000;1.000043;151.250000;1.370111
0.029000;1.000046;150.500000;1.371426
0.030000;1.000049;150.000000;1.372828
0.031000;1.000043;150.250000;1.374310
0.032000;1.000044;150.250000;1.375869
0.033000;1.000043;149.000000;1.377513
0.034000;1.000044;149.500000;1.379244
0.035000;1.000038;149.750000;1.381063
0.036000;1.000041;149.000000;1.382965
0.037000;1.000045;148.500000;1.384946
0.038000;1.000046;147.750000;1.386999
0.039000;1.000045;149.000000;1.389125
0.040000;1.000036;148.750000;1.391323
0.041000;1.000036;148.750000;1.393595
0.042000;1.000040;149.000000;1.395946
0.043000;1.000043;148.250000;1.400446
0.044000;1.000054;149.250000;1.407463
0.045000;1.000049;148.750000;1.415707
0.046000;1.000052;148.000000;1.423747
0.047000;1.000046;148.500000;1.430676
0.048000;1.000046;148.250000;1.445038
0.049000;1.000042;148.750000;1.458655
0.050000;1.000038;148.250000;1.470537
0.051000;1.000041;148.250000;1.481394
0.052000;1.000049;147.750000;1.491939
0.053000;1.000057;147.250000;1.506386
0.054000;1.000065;147.000000;1.527673
0.055000;1.000062;146.750000;1.553244
0.056000;1.000055;146.000000;1.577180
0.057000;1.000056;146.000000;1.593023
0.058000;1.000052;147.250000;1.597322
0.059000;1.000053;147.500000;1.599514
0.060000;1.000062;148.500000;1.601841
0.061000;1.000065;148.000000;1.604315
0.062000;1.000053;147.750000;1.614182
0.063000;1.000051;147.250000;1.646507
0.064000;1.000059;146.250000;1.685954
0.065000;1.000065;147.000000;1.713112
0.066000;1.000060;146.000000;1.716395
0.067000;1.000069;146.000000;1.721350
0.068000;1.000071;146.750000;1.727525
0.069000;1.000076;146.250000;1.734258
0.070000;1.000076;145.250000;1.741193
0.071000;1.000064;145.250000;1.756314
0.072000;1.000073;145.000000;1.780783
0.073000;1.000064;145.000000;1.802516
0.074000;1.000059;145.000000;1.819869
0.075000;1.000054;144.750000;1.833953
0.076000;1.000060;146.000000;1.847304
0.077000;1.000066;146.750000;1.862213
0.078000;1.000070;145.750000;1.879750
0.079000;1.000062;145.750000;1.900338
0.080000;1.000059;145.750000;1.923244
0.081000;1.000065;145.500000;1.948884
0.082000;1.000067;145.250000;1.980979
0.083000;1.000071;144.750000;2.007778
0.084000;1.000076;144.000000;2.022341
0.085000;1.000091;143.250000;2.028031
0.086000;1.000078;144.000000;2.029614
0.087000;1.000069;144.500000;2.031242
0.088000;1.000074;145.250000;2.033328
0.089000;1.000084;146.000000;2.036666
0.090000;1.000081;145.000000;2.040098
0.091000;1.000079;145.750000;2.043623
0.092000;1.000083;145.000000;2.048121
0.093000;1.000084;145.750000;2.061793
0.094000;1.000068;146.500000;2.081024
0.095000;1.000055;146.750000;2.097556
0.096000;1.000057;146.000000;2.113432
0.097000;1.000057;146.000000;2.125551
0.098000;1.000059;145.250000;2.157055
0.099000;1.000061;144.750000;2.169197
0.100000;1.000088;143.750000;2.172810
0.101000;1.000087;142.750000;2.176550
0.102000;1.000073;142.500000;2.182215
0.103000;1.000071;142.750000;2.190150
0.104000;1.000082;143.250000;2.226635
0.105000;1.000096;142.250000;2.274876
